prop_id,name,location,zip
B290,Public Place,Eldert La. between Liberty Ave. and Glenmore Ave.,11208
B291,Power Playground,Ave. N between E. 49 St. and Utica Ave.,11234
B292,Pratt Playground,Willoughby Ave. between Stuben St. and Emerson Pl.,11205
B293,Classon Playground,Lafayette Ave. and Classon Ave.,11205
B294,Jackie Robinson Park Playground,Malcom X Blvd. between Chauncey St. and Marion St.,11233
B295,Oxport Playground,Flushing Ave. between N. Portland Ave. and N. Oxford St.,11205
B296,Luna Playground,Surf Ave. between W. 12 St. and W. 8 St.,11224
B297,Albemarle Playground,"Albemarle Rd., Dahill Rd., Mcdonald Ave.",11218
B298,Stockton Playground,"Park Ave., Martin Luther King Pl., Marcy Ave.",11206
B300,Oracle Playground,"Adelphi St., Myrtle Ave., Clermont Ave.",11205
B301,Greene Playground,Greene Ave. bet. Waverly Ave. and Washington Ave.,11238
B302,Charlie's Place,"Ellery St. at Delmonico Pl., Hopkinds St. bet. Tompkins Ave. and Throop Ave.",11206
B304,Kennedy King Playground,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",11212
B305,P.S. 279 Playground,E. 103 St. to E. 104 St. between Ave. J and Ave. K,11236
B306,Playground 286,Ave. Y between Brown St. and Haring St.,11235
B307,Tiger Playground,Evergreen Ave. between Eldert St. and Covert St.,11207
B308,Yak Playground,Ave. Y between Coyle St. and Batchelder St.,11235
B309,Pink Playground,Stanley Ave. and Eldert La.,11208
B310,Bushwick Playground,Flushing Ave. bet.. Beaver St. and Garden St.,11206
B311,Ten Eyck Playground,Scholes St bet. Bushwick Av and Waterbury St,11206
B312,Woodruff Playground,Stanley Ave. between Autumn Ave. and Hemlock St.,11208
B313,El Shabazz Playground,Macdonough St. between Malcolm X Blvd. and Stuyvesant Ave.,11233
B315,Surf Playground,Surf Ave. between W. 25 St. and W. 27 St.,11224
B316,DiGilio Playground,Ave. F bet. McDonald Ave. and E. 2 St.,11218
B317,Lafayette Gardens Playground,Lafayette Ave. and Franklin Ave.,11205
B320,Park Slope Playground,Berkeley Pl. and Lincoln Pl. between 5 Ave. and 6 Ave.,11217
B321,Edmonds Playground,Dekalb Ave. between Adelphi St. and Carlton Ave.,11205
B322,Pulaski Playground,Hart St. to Pulaski St. between Throop Ave. and Marcus Garvey Blvd.,11206
B323,Hattie Carthan Playground,Monroe St. to Madison St. between Marcy Ave. and Tompkins Ave.,11216
B324,Jacob Joffe Fields,Ave. K between E. 58 St. and E. 59 St.,11234
B325,Fish Playground,Fulton St. between Saratoga Ave. and Hopkinson Ave.,11233
B326,Cobble Hill Park,Clinton St. between Verandah Pl. and Congress St.,11201
B329,Lindower Park,Strickland Ave. between Mill Ave. and E. 60 Pl.,11234
B330,Hickman Playground,Veterans Ave. between E. 66 St. and E 68 St.,11234
B331,Neptune Playground,W. 12 St. between Neptune Ave. and Surf Ave.,11224
B332,Evergreen Playground,Decatur St. to Schaefer St. between Bushwick Ave. and Evergreen Ave.,11207
B334,Fermi Playground,"Central Ave., Troutman St. and Starr St.",11221
B335,Bildersee Playground,Flatlands Ave. between E. 81 St. and E. 82 St.,11236
B336,Abe Stark Skating Rink,Surf Ave. to the Boardwalk between W. 19 St. and W. 20 St.,11224
B337,Century Playground,W. Brighton Ave. between W. 2 St. and W. 3 St.,11224
B338,Tom McDonald Triangle,"Ft Hamilton Pkwy., 83 St., 6 Ave.",11209
B339,Newport Playground,Riverdale Ave. bet. Thatford Ave. and Osborn St.,11212
B340,Garden Playground,Flushing Ave. between Beaver St. and Garden St.,11206
B342,100% Playground,Glenwood Rd. between E. 100 St. and E. 101 St.,11236
B343,Osborn Playground,"Linden Blvd., Osborn St., Rockaway Ave., Hegeman Ave.",11212
B345,Ethan Allen Playground,Wortman Ave. between Vermont St. and New Jersey Ave.,11207
B346,Ericsson Playground,Manhattan Ave. and Leonard St.,11222
B347,Carver Playground,Sumpter St. to Marion St. between Howard Ave. and Ralph Ave. ,11233
B348,Willoughby Playground,"Tompkins Ave., Willoughby Ave., Vernon Ave.",11206
B349,Bath Playground,Bath Ave. between 24 Ave. and Bay 37 St.,11214
B350,Stroud Playground,Sterling Pl. to Park Pl. between Classon Ave. and Washington Ave.,11238
B351,Kosciuszko Pool,Marcy Ave. between Kosciuszko St. and Dekalb Ave.,11216
B352,Curtis Playground,Foster Ave. between E. 81 St. and E. 82 St.,11236
B353,Bergen Beach Playground,E. 71 St. between Ave. N and Ave. T,11234
B356,North Pacific Playground,Pacific St. between Nevins St. and 3 Ave.,11217
B357,Jackie Robinson Playground,Montgomery St. between Franklin Ave. and McKeever Pl.,11225
B358,De Hostos Playground,Harrison Ave. between Walton St. and Lorimer St.,11206
B359,Eleanor Roosevelt Playground,Kosciuszko St. to Dekalb Ave. between Lewis Ave. and Stuyvesant Ave.,11221
B360,Remsen Playground,Remsen Ave. and Glenwood Rd.,11236
B361,Boerum Park,Warren St. to Baltic St. between Hoyt St. and Smith St.,11201
B362,Chester Playground,Chester St. to Bristol St. between Sutter Ave. and Pitkin Ave.,11212
B363,Houston Playground,Glenmore Ave. between Powell St. and Sackman St.,11212
B364,Woods Playground,"Bergen St., Utica Ave., Rochester Ave., St Mark's Ave.",11213
B366,Duke Park,New Jersey Ave. between Blake Ave. and Dumont Ave.,11207
B367,Livonia Park,Livonia Ave. between Powell St. and Junius St.,11212
B368,The Cyclone,W. 10 St. between Surf Ave. and Public Beach,11224
B369,Steeplechase Park,"Surf Ave. between W. 16 St. and W. 19 St., Public Beach",11224
B371,Spring Creek Park,"Shore Pkwy and Seaview Ave., Schenk Ave.","11208, 11239, 11414"
B372,Friends Field,"Ave. L, E. 4 St., Mcdonald Ave., Ave. M",11230
B375,Chiarantano Playground,Farragut Rd. between E. 45 St. and E. 46 St.,11203
B376,Fidler-Wyckoff House Park,"E. 59 St.,Ditmas Ave., Clarendon Rd., Ralph Ave.",11203
B377,Floyd Patterson Ballfields,"Christopher Ave., Riverdale Ave., Newport St., Mother Gaston Blvd.",11212
B378,University Place,Flatbush Ave. at Fleet St.,11201
B379,Coney Island Creek Park,Bay View Ave. between Sea Gate Ave. and W. 33 St.,11224
BZ362,Greenstreet,Bayview Ave & W 37 St (Bayview Gardens),NA
B380,Robert E. Venable Park,"Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave.",11208
B381,Thomas Boyland Park,Broadway between Granite St. and Aberdeen St.,11207
B382A,Roberto Clemente Ballfield,Division Ave. between Wythe Ave. and Kent Ave.,11211
B382B,Jacob's Ladder Playground,Clymer St. to Morton St. between Kent Ave. and Wythe Ave.,11211
B384,Fresh Creek Nature Preserve,"Flatlands Ave, Louisiana Ave., E 108 St. and Belt Parkway","11236, 11239"
B385,WNYC Transmitter Park,West St. bet. Kent St. and Greenpoint Ave.,11222
B386,Ten Eyck Plaza,Ten Eyck St. to Stagg St. between Lorimer St. and Union Ave.,11206
B387,Hilltop Playground,Hopkinson Ave. bet. Pacific St. and Dean St.,11233
B388,Gateway Triangle,"Vanderbilt Ave., Gates Ave. and Fulton St.",11238
B389,Umma Park,Woodruff Ave. and Ocean Ave.,11226
B390,Mother Cabrini Park,President St. and Van Brunt St.,11231
B391,Lt. Federico Narvaez Tot Lot,Argyle Rd. and Cortelyou Rd.,11226
B393,Sheepshead Bay Piers,Emmons Ave. bet. Ocean Ave. and E. 26 St.,11235
B394,Four Sparrow Marsh,"Flatbush Ave., Belt Pkwy., Mill Basin",11234
B395,Green Central Knoll,"Flushing Ave., Central Ave., Noll St., Evergreen Ave.",11206
B396,Nehemiah Park,"Watkins St., Mother Gaston Blvd., Livonia Ave., Riverdale Ave.",11212
B397,Carter G. Woodson Children's Park,Christopher Ave. between Sutter Ave. and Belmont Ave.,11212
B400,Hattie Carthan Community Garden,Marcy Ave between Clifton Pl. and Lafayette Ave.,11216
B401,Grand Ferry Park,Grand St. at River St. ,11211
B402,George Walker Jr. Park,Wyona St. to Vermont St. between Fulton St. and Jamaica Ave.,11207
B403,Harmony Park,Troy Ave. to Schenectady Ave. between Atlantic Ave. and Herkimer St.,11213
B404,East Flatbush Children's Playground,E. 94 St. bet. Rutland Rd. and E. New York Ave.,11212
B405,Epiphany Playground,Berry St. between S. 9 St. and S. 10 St.,11211
B406,Paerdegat Basin Park,"Bergen Ave., E. 76 St., Paerdegat Ave. North","11234, 11236"
B407,South Oxford Park,S. Oxford St. bet. Commos and Atlantic Ave.,11217
B418,Valentino Pier,Ferris St. between Coffey St. and Van Dyke St. ,11231
B419,Sutter Ballfields,Belmont Ave. to Sutter Ave. between Schenck Ave. and Barbey St.,11207
B429,Hope Ballfield,Knickerbocker Ave. between Grove St. and Menahan St.,11237
B430,Lewis Playground,Willoughby Ave. between Lewis Ave. and Marcus Garvey Blvd.,11206
B431,Brooklyn Bridge Park,"Furman St.,Water St. and John St. bet. Atlantic Ave.,Old Fulton St.,Main St.,Adams St., and Jay St.","11201, 11201, 11201, 11201, 11201"
B432,American Veterans Memorial Pier,"Bay Ridge Ave., Shore Rd., Upper Bay",11220
B433,Hendrick I. Lott House,E. 35 St. to E. 36 St. between Fillmore Ave. and Ave. S,11234
B434,Old Gravesend Cemetery,Van Sicklen St. to McDonald Ave. between Village Rd. and Gravesend Neck Rd.,11223
B529,Bushwick Inlet Park,Kent Ave. bet. Quay St. and N 9 St.,11211
B536,North 5th Street Pier and Park,Kent Ave. bet. N. 4 St. and N. 6 St.,11211
B537,Park,Grand Ave. bet. Putnam Ave. and Fulton St.,11238
BZ252,Park,Grand Ave. bet. Putnam Ave. and Fulton St.,11238
B541,Berriman Playground,Berriman St. between Vandalia Ave. and Schroeders Ave.,11239
B591,Schaefer Landing,East River and Kent Ave. between S. 9th St. and S. 10 St.,11211
B592,Betty Carter Park,"Lafayette Ave., Fulton St., bet. St. Felix St. and Ft. Greene Pl.",11217
B594,Park,Maple St. bet. Rogers Ave. and Nostrand Ave.,11225
B595,Greenpoint Landing,Commercial St. bet. Franklin St. and Clay St.,11222
BT10,Holocaust Memorial Park,Shore Blvd. and Emmons Ave.. Neptune Ave.,11235
BT15,Bush Terminal Park,Marginal St. bet. 44 St. and 50 St.,11232
BZ02,GREENSTREET,Shell Road from Ave X to Shore Pkwy,NA
BZ04,GREENSTREET,"Oriental Boulevard, West End Ave to Oxford St",NA
BZ07,GREENSTREET,Guider Ave btw Coney Island Ave & E 11 St,NA
BZ08,GREENSTREET,Flatbush Av Ext & Tillary St,NA
BZ10,Babi Yar Triangle,B 14 St & Corbin Place,NA
BZ10-01,GREENSTREET-Playground,B. 14 St & Corbin Place,NA
BZ11,GREENSTREET,Senator St & 3rd Ave,NA
BZ12,GREENSTREET,"E 22 St, Ave Z, and Jerome Ave",NA
BZ13,GREENSTREET,St. Marks Ave & Kingston Ave,NA
BZ201,GREENSTREET,"Bay 50th St, W 16th St, and Private Catanzaro Sq",NA
BZ214,GREENSTREET,"Gerald H Chambers Sq & Oriental Blvd, Center",NA
BZ239,Schloss Triangle,Neptune Ave & East 12th St,NA
BZ24,GREENSTREET,"New Lots Ave, Miller Ave, and Riverdale Ave",NA
BZ27,GREENSTREET,"Fort Hamilton Pkwy, Caton Ave, and Mcdonald Av",NA
BZ28,GREENSTREET,10th Ave btw 58th St & 59th St,NA
BZ29,GREENSTREET,8th Ave. Bet. 72nd St. And 73rd St.,NA
BZ30,GREENSTREET,Fillmore Ave And East 57th St.,NA
BZ316,GREENSTREET,Ralph Ave & Snyder Ave & East 88th St,NA
BZ32,GREENSTREET,Fulton St/lafayette St/south Elliott Pl,NA
BZ36,GREENSTREET,7th Ave/66th St,NA
BZ45,GREENSTREET,Veterans Ave/east 69th St/ave T,NA
BZ496,GREENSTREET,"Troy Av, Fulton St, Lewis Av",NA
BZ55,Ascenzi Square,"Metropolitan Avenue, Roebling St, North ",NA
BZ80,Jewel Square,"Williams Ave, Alabama Ave, Jamaica Ave, and Fulton St",NA
M001,Abingdon Square,"Hudson St, 8 Av, W 12 St",10014
M002,Ahearn Park,"Grand St, E Broadway and Willet St",10002
M003,Annunciation Playground,"Convent and Amsterdam Av, W 135 St",10031
M004,Allen Mall One,"E Houston St, E Broadway",10002
M005,The Battery,"Battery Pl, State St and Whitehall St","10004, 10280"
M006,Tribeca Park,"Walker St., Beach St. bet. St. John's La. and Ave. of the Americas",10013
M007,Bowling Green,Broadway and Whitehall St.,10004
M008,Bryant Park,"bet. 5 and 6 Av, W 40 St and W 42 St",10018
M009,Bennett Park,"Ft Washington Av, W 183 St, Pinehurst Av",10033
M010,Central Park,"5 Av To Central Park W, 59 St To 110 St","10023, 10024, 10025"
M011,Chelsea Park,"9 Av To 10 Av, W 27 St To W 28 St",10001
M012,Christopher Park,"Christopher St, Grove St, W 4 St",10014
M013,City Hall Park,"Broadway, Park Row and Chambers St",10007
M014,Jackie Robinson Park,"Bradhurst Av and Edgecombe Av, W 145 St To",10039
M015,Columbus Park,"Baxter St, Mulberry St, Bayard St and Park",10013
M016,Cooper Triangle,"3 Av To 4 Av, E 6 St To E 7 St",10003
M017,Corlears Hook Park,"Jackson St, Cherry St, FDR Drive",10002
M018,Carmansville Playground,"Amsterdam Av, W 151 St To W 152 St",10031
M019,Coleman Playground,"Cherry St, Pike St, Monroe St",10002
M020,Dante Park,"Broadway, Columbus Av, W 63 St",10023
M021,A Philip Randolph Square,"7 Av, St Nicholas Av, W 117 St",10026
M022,De Witt Clinton Park,"W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.",10019
M023,Donnellan Square,"St Nicholas Av, W 150 St To St Nicholas Av",10031
M024,Dorrance Brooks Square,"W 136 St To W 137 St, St Nicholas Av, Edgecom Av",10030
M025,Duane Park,"Hudson St., Duane St.",10013
M026,Dyckman House Museum,Broadway and W. 204 St.,10034
M027,Downing Street Playground,"Downing St to Carmine St, Av Of Americas",10014
M028,Fort Washington Park,"Riverside Dr., Hudson River, W. 155 St. to Dyckman St.","10032, 10033, 10034"
M029,Fort Tryon Park,"Riverside Dr To Broadway, W 192 St To Dyckman St",10040
M030,Thomas Paine Park,"Lafayette St., Centre St. bet. Worth St., Pearl St. and Duane St.",10007
M031,Amelia Gorman Park,"Broadway To Wadsworth Terr, W 189 St To W 190 St",10040
M032,Greeley Square Park,"Broadway, Av of the Americas, bet. W. 32 St. and W. 33 St.",10001
M033,Hamilton Fish Park,"E Houston St, Stanton St, Sheriff St, Pitt St",10002
M034,Hancock Park,"St Nicholas Av, Manhattan Av, W 123 St",10027
M035,Colonel Charles Young Triangle,"7 Ave., Macombs Pl., At W. 153 St.",10039
M036,Herald Square,"Broadway, Ave of the Americas, bet. W. 34 St. and W. 35 St.",10001
M037,Highbridge Park,"W 155 St and Dyckman St, Edgecombe Av & Amsterdam Av","10032, 10033, 10039, 10040, 10452"
M038,James J Walker Park,"Hudson St, St Luke's Pl, Clarkson St, 7 Av",10014
M039,Harlem River Park,Harlem River Dr. from E. 131 St. to W. 145 St. and W. 155 St. to Dyckman St.,"10032, 10033, 10034, 10037, 10039, 10040, 10451"
M040,Johnny Hartman Square,"Amsterdam Av, W 143 St and Hamilton Pl",10031
M041,Alexander Hamilton Playground,"Hamilton Pl., W. 140 St. To W. 141 St.",10031
M042,Inwood Hill Park,"Dyckman St, Hudson River, Harlem River S","10033, 10034"
M043,Isham Park,"Broadway, Park Terrace, Seaman Ave. and Indian Rd. bet. Isham St., W 214 St., and W 218 St.",10034
M044,Jackson Square,"8 Ave. To Greenwich Ave., Horatio St.",10014
M045,John Jay Park,"FDR Dr., E 76 St. To E 78 St.",10021
M046,Vietnam Veterans Plaza,N/S South St bet. Broad St and Old Slip,10004
M047,Thomas Jefferson Park,"1 Ave., FDR Dr., bet. E. 111 St. and E. 114 St.",10029
M048,Joan Of Arc Park,"Riverside Dr., W. 91 St. To W. 95 St.","10024, 10025"
M051,Richard Tucker Park,"Broadway To Columbus Ave, W. 66 St.",10023
M052,Madison Square Park,"Broadway, Madison Ave. bet. E. 23 St. and E. 26 St.",10010
M053,Theodore Roosevelt Park,"Central Park W, Columbus Av, W 77 To W 81 Sts",10024
M054,Mitchel Square,"Broadway, St Nicholas Av, W 166 St To W 168 St",10032
M055,Montefiore Square,"Broadway, Hamilton Pl., W. 138 St.",10031
M056,Morningside Park,"W 110 St To W 123 St, Manhattan Av To Morningside Av",10026
M058,Marcus Garvey Park,"Madison Ave, E. 120 St. to E. 124 St.",10027
M059,Murphy Brothers Playground,"Ave. C, FDR Dr., E. 17 St.",10009
M060A,Park Avenue Malls,E 46 St To E 59 St and Park Av,"10017, 10022"
M060B,Park Avenue Malls,E 34 St To E 39 St and Park Av,10016
M060C,Park Avenue Malls,E. 59 St. To E. 97 St. and Park Ave.,"10021, 10022, 10028, 10029, 10065, 10075, 10128"
M061,Plaza Lafayette,"Riverside Dr., W. 181 St. To Haven Ave.",10033
M062,Grand Army Plaza,"5 Av, W 58 St To W 59 St",10019
M063,Gertrude Ederle Recreation Center,"W. 59 St., W. 60 St., bet. Amsterdam Ave. and W. End Ave.",10023
M064,Lillian D Wald Playground,"Cherry St, Montgomery St and Gouverneur St",10002
M065,Luther Gulick Park,"Columbia St, Delancey St and Bialystoker Pl",10002
M066,Dr. Gertrude B. Kelly Playground,"W. 17 St., 8 Ave. To 9 Ave.",10011
M067,Sophie Irene Loeb,"Henry St., Market St., E. Broadway",10002
M069,Vesuvio Playground,Thompson St bet. Spring St and Prince St,10012
M070,Queensboro Oval,"West of York Ave., E 59 St. To E 60 St.",10022
M071,Riverside Park,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","10023, 10024, 10025"
M072,Riverside Park,"Riverside Dr to Henry Hudson Pkwy, W 153 St","10027, 10031"
M073,Roger Morris Park,"Jumel Terr To Edgecombe Av, W 160 St To W 162 St",10032
M076,St. Vartan Park,"1 Ave.,2 Ave., bet. E. 35 St. and E. 36 St.",10016
M077,St. Nicholas Park,"St. Nicholas Ave., St. Nicholas Ter. bet. W. 128 St. and W. 141 St. ","10027, 10031"
M079,St. Catherine's Park,"1 Ave., bet. E. 67 St. To E. 68 St.",10065
M080,Schiff Mall,Delancey St bet. Bowery and Essex St,10002
M081,Carl Schurz Park,"East End Av To East River, E 84 St To E 90 St",10028
M082,Seward Park,"Canal St, Essex St, Jefferson St and E Broadway",10002
M083,Sherman Square,Broadway and Amsterdam Ave. At W. 70 St.,10023
M085,Straus Park,"Broadway, W. 106 St., W. End Ave.",10025
M086,Stuyvesant Square,"Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St. ",10003
M087,Sakura Park,"Riverside Dr., Claremont Ave. To W. 122 St.",10027
M088,Tompkins Square Park,"Ave. A To Ave. B, E. 7 St. To E. 10 St.",10009
M089,Union Square Park,"Broadway To 4 Ave., E 14 St. To E 17 St.",10003
M090,Lafayette Square,"Manhattan Av, W 114 St, Morningside Av",10026
M091,Bennett Rest,"Henry Hudson Pkwy, Cabrini Blvd, at W186 St","10033, 10040"
M092A,Haven Avenue,Riverside Dr. bet. W 176 St. and W 178 St.,10032
M093,Father Duffy Square,"Broadway, W. 46 St. To W. 47 St., 7 Ave.",10036
M094,Broadway Malls,"Broadway, Columbus Circle To W 110 St","10023, 10024, 10025"
M094A,Broadway Malls,"Broadway, W 110 StTo W 122 St","10025, 10027"
M095,Broadway Malls,"Broadway, W. 135 St. To W. 156 St.","10031, 10032"
M095A,Broadway Malls,"Broadway, W 156 St To W 168 St",10032
M096,Adam Clayton Powell Jr. Malls,"7 Ave., W. 110 St. To W. 152 St.","10026, 10027, 10030, 10039"
M097,Verdi Square,"Broadway, Amsterdam Ave. and W. 73 St.",10023
M098,Washington Square Park,"5 Ave, Waverly Pl., W. 4 St. and Macdougal St.",10011
M099,J. Hood Wright Park,W. 173 St. bet. Haven Ave. and Ft. Washington Ave.,10033
M101,Worth Square,"Broadway, 5 Ave., W. 24 St. to W. 25 St.",10010
M103,Tony Dapolito Recreation Center,"Carmine St. and Clarkson St., 7 Ave.",10014
M104,Randall's Island Park,East River and Harlem River,10035
M105,Sara D. Roosevelt Park,E. Houston St. To Canal St. bet. Chrystie St. and Forsyth St.,10002
M107,Wards Island Park,East River and Hell Gate,10035
M108A,Louis Cuvillier Park,"E.125 St., FDR Dr., 1 Ave., Paladino Ave.",10035
M108B,Park,"E. 122 St. To E. 125 St., FDR Dr. To Harlem River Dr.",10035
M108F,Triboro Plaza,"1 Ave. To 2 Ave., bet. E. 124 St. and E. 126 St.",10035
M108G,Playground 103 CIII,FDR Dr. bet. E. 102 St. and E. 106 St.,10029
M108H,Park,E. 93 St. and FDR Dr.,10128
M108N,Peter Detmold Park,"E. 49 St. To E. 51 St., W/s FDR Dr.",10022
M108P,Sutton Parks,"E. 53 St. to E. 54 St. at Sutton Pl.; Foot of E. 55 St., E. 56 St., E. 57 St.",10022
M108Q,Twenty-Four Sycamores Park,"FDR Dr., E. 60 St. To E. 61 St. and York Ave.",10065
M108Q1,Andrew Haswell Green Park,E. River bet. E. 59 St. and E. 63 St.,"10022, 10065"
M108R,Sutton Place Park,E. River bet. E. 56 St. and E. 57 St.,10022
M108T,East River Walk,"FDR Drive, E 63 St. To E 81 St.","10021, 10028, 10065, 10075"
M108T01,East River Esplanade,"FDR Drive, E 90 St. To E 125 St.","10028, 10029, 10035, 10128"
M110,William McCray Playground,"W. 138 St., bet. Lenox Ave. and 5 Ave.",10037
M111,James Weldon Johnson Playground,E. 115 St. bet. 3 Ave. and Lexington Ave.,10029
M113,Joseph C. Sauer Park,E. 12 St. bet. Ave. A and Ave. B,10009
M116,ABC Playground,"Essex St., Norfolk St. and Houston St.",10002
M120A,William F. Passannante Ballfield,"W. Houston St., Ave. of Americas, Macdougal St.",10012
M120B,Playground of the Americas,"S/s W. Houston St., Ave. of Americas",10014
M122,Captain Jacob Joseph Playground,Rutgers St. and Henry St.,10002
M123,Peretz Square,"E. 1 St., E. Houston St., 1 Ave. and Allen St.",10003
M124,First Park,"Houston St., E. 1 St., 1 Ave.",10003
M125A,Minetta Green,S/e Corner Minetta Lane and Ave. of Americas,10012
M125B,Minetta Playground,"Minetta Lane, W. 3 St. and Ave. of Americas",10012
M125C,West 4th Street Courts,"Ave. Of Americas, W. 3 St. and W. 4 St.",10012
M125D,Minetta Triangle,N/e Corner Ave. of Americas and Minetta St.,10012
M125E,Charlton Plaza,"Ave. of Americas, King St. and Charlton St.",10014
M127,Bushman Steps,"Edgecombe Ave., W. 157 St.",10032
M130,Recreation Center 54,E. 54 St. bet. 1 Ave. and 2 Ave.,10022
M131,Hansborough Recreation Center,"W. 134 St., Lenox Terrace Pl.",10037
M132,Little Flower Playground,Madison St. bet. Clinton St. and Rutgers St.,10002
M138,Bill Bojangles Robinson Playground,"W. 150 St., W/s 7 Ave.",10039
M140,Recreational Area,"W. 145 St., W. 155 St., Hudson River","10031, 10032"
M141,Harlem Lane Playground,"Harlem River Dr., W. 151 St. To W. 154 St.",10039
M144,John V. Lindsay East River Park,"Montgomery St. To E. 12 St., FDR Drive",10002
M145,Albert Capsouto Park,"Laight St., Canal St., and Varick St.",10013
M148,White Playground,E. 105 St. To E. 106 St. bet. Lexington Ave. and 3 Ave. ,10029
M154,Mathews-Palmer Playground,W. 45 St. bet. 9 Ave. and 10 Ave.,10036
M155,Courtney Callender Playground,"5 Ave., W. 130 St. To .W 131 St.",10037
M156,McKenna Square,"W. 165 St., Amsterdam Ave. To Audubon Ave.",10032
M158,Robert Moses Playground,"1 Ave., bet. E. 41 St. and E. 42 St.",10017
M159,Frederick Johnson Playground,7 Ave. bet. W. 150 St. and W. 151 St.,10039
M160,Fred Samuel Playground,"Lenox Ave., W. 139 St. To W. 140 St.",10030
M161,McCaffrey Playground,W. 43 St. bet. 8 Ave. and 9 Ave.,10036
M164,Asser Levy Playground,"E. 23 St. To E. 25 St., FDR Drive",10010
M165,Baruch Playground,Corner of Baruch Pl. and Mangin St.,10002
M166,Harlem Art Park,E. 120 St. and Sylvan Pl.,10035
M167,Peck Slip,Peck Slip bet. South St. and Front St.,10038
M169,Samuel Marx Triangle,"7 Ave., St. Nicholas Ave., W. 115 St.",10026
M170,Petrosino Square,"Kenmare St., Lafayette St., and Cleveland Pl.",10012
M171,Cherry Clinton Playground,Corner of Cherry St. and Clinton St.,10002
M172,McCarthy Square,"7 Ave., Charles St. and Waverly Pl.",10014
M177,Honey Locust Park,"E. 59 St., bet. 1 Ave. and 2 Ave.",10022
M178,Catherine Slip Malls,Catherine Slip bet. Cherry St. and South St.,10038
M180,Lt. Wm. Tighe Triangle,"Riverside Dr., Dyckman St. and Seaman Ave.",10034
M182,Vladeck Park,Madison St. To Water St. bet. Jackson St. and Gouverneur St.,10002
M183,Peter Minuit Playground,Park Ave. bet. E 108 St. and E. 109 St.,10029
M184,Samuel N. Bennerson 2nd Playground,"W. 64 St., bet. Amsterdam Ave. and West End Ave.",10023
M186,Col. Young Playground,"W. 145 St. to W. 143 St., Lenox Ave., and Harlem River",10037
M187,Marx Brothers Playground,"2 Ave., E. 96 St. to E. 97 St.",10029
M188,Abe Lebewohl Park,E. 10 St. and 2 Ave.,10003
M188A,Abe Lebewohl Triangle,E. 10 St. and Stuyvesant Pl.,10003
M189,Roosevelt Triangle,W. 125 St. and Morningside Ave.,10027
M190,Sheltering Arms Playground,"W. 126 St. to W. 129 St., Amsterdam Ave. to Old Broadway ",10027
M191,Father Demo Square,"Ave. of Americas, Bleecker St. and Carmine St.",10014
M192,Stanley Isaacs Playground,"FDR Dr., E. 95 St. To E. 97 St.","10029, 10128"
M193,Abraham Lincoln Playground,5 Ave. and E. 135 St.,10037
M194,Alfred E. Smith Playground,"Catherine Slip, Madison St. and South St.",10038
M195,Sidney Hillman Playground,Lewis St. bet. Delancey St. and Broome St.,10002
M196,Playground One,Madison St. bet. Catherine St. and Oliver St.,10038
M198,"Martin Luther King, Jr. Playground","Lenox Ave, W. 113 St. To W. 114 St.",10026
M199,Monsignor Kett Playground,W. 204 St. bet. 10 Ave. and Nagle Ave.,10034
M200,Booker T. Washington Playground,"W. 107 St. to W. 108 St., Columbus Ave. and Amsterdam Ave.",10025
M200A,Anibal Aviles Playground,"W. 108 St. to W. 109 St., Columbus Ave. and Amsterdam Ave.",10025
M201,Wald Playground,E. Houston St. and FDR Dr.,10009
M203A,Trygve Lie Plaza,"1 Ave., bet. E. 41 St. and E. 42 St.",10017
M203B,Ralph Bunche Park,"1 Ave., bet. E. 42 St. and E. 43 St.",10017
M203C,Dag Hammarskjold Plaza,E. 47 St. bet. 1 Ave. and 2 Ave.,10017
M203D,Mary O'Connor Playground,E. 42 St. bet. 1 Ave. and 2 Ave.,10017
M203E,Tudor Grove Playground,E. 42 St. bet. 1 Ave. and 2 Ave.,10017
M204,Moore Playground,Madison Ave. bet. E. 130 St. and E. 131 St.,10037
M205,Playground One Twenty Five CXXV,"Morningside Ave., W. 123 St. and W. 124 St.",10027
M206,Tanahey Playground,"Cherry St. To Water St., W. Catherine Slip To Market Slip",10002
M207,Father Fagan Park,Ave. Of Americas bet. Prince St. and Spring St.,"10012, 10013"
M208A,Alice Kornegay Triangle,"Lexington Ave., E. 128 St. to E. 129 St.",10035
M208B,Each One Teach One,"Lexington Ave., E. 129 St. to E. 130 St.",10035
M208C,Harlem River Park,"Lexington Ave., E. 130 St. to E. 131 St.",10037
M208D,Harlem River Park,"E. 128 St., 2 Ave., 3 Ave., Harlem River Drive",10035
M208E,Crack Is Wack Playground,"E. 127 St., 2 Ave., and Harlem River Drive",10035
M208F,Harlem River Park,"E. 127 St., 2 Ave., and Harlem River Drive",10035
M208G,Harlem River Park,E. 127 St. and Harlem River Drive,10035
M209,Mill Rock Park,East River Opp E. 96 St.,10128
M211A,St. Nicholas Playground South,W/s 7 Ave. bet. W. 127 St. and W. 129 St.,10027
