"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from flask air samples                   "
" Alert Station, NWT, Canada. 62W 82N                                                       "
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 07-Aug-2018 last updated 05-Nov-2018                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1985, 01,   31062, 1985.0411,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 02,   31093, 1985.1260,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 03,   31121, 1985.2027,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 04,   31152, 1985.2877,   -99.99,   -99.99,     -99.99,   -99.99,     -99.99,   -99.99
1985, 05,   31182, 1985.3699,   352.76,   347.98,     351.82,   347.05,     352.76,   347.98
1985, 06,   31213, 1985.4548,   348.19,   345.37,     349.90,   347.15,     348.19,   345.37
1985, 07,   31243, 1985.5370,   343.36,   346.66,     343.83,   347.26,     343.36,   346.66
1985, 08,   31274, 1985.6219,   -99.99,   -99.99,     338.09,   347.37,     338.09,   347.37
1985, 09,   31305, 1985.7068,   338.64,   347.44,     338.74,   347.49,     338.64,   347.44
1985, 10,   31335, 1985.7890,   342.80,   347.23,     343.24,   347.60,     342.80,   347.23
1985, 11,   31366, 1985.8740,   347.12,   347.46,     347.43,   347.72,     347.12,   347.46
1985, 12,   31396, 1985.9562,   350.26,   348.06,     350.06,   347.83,     350.26,   348.06
1986, 01,   31427, 1986.0411,   351.16,   347.67,     351.45,   347.95,     351.16,   347.67
1986, 02,   31458, 1986.1260,   351.66,   347.55,     352.18,   348.06,     351.66,   347.55
1986, 03,   31486, 1986.2027,   352.83,   348.34,     352.66,   348.16,     352.83,   348.34
1986, 04,   31517, 1986.2877,   353.11,   348.45,     352.93,   348.26,     353.11,   348.45
1986, 05,   31547, 1986.3699,   353.71,   348.89,     353.17,   348.36,     353.71,   348.89
1986, 06,   31578, 1986.4548,   351.80,   348.96,     351.21,   348.44,     351.80,   348.96
1986, 07,   31608, 1986.5370,   347.00,   350.32,     345.07,   348.52,     347.00,   350.32
1986, 08,   31639, 1986.6219,   340.59,   349.88,     339.24,   348.58,     340.59,   349.88
1986, 09,   31670, 1986.7068,   339.41,   348.27,     339.85,   348.65,     339.41,   348.27
1986, 10,   31700, 1986.7890,   344.31,   348.77,     344.33,   348.71,     344.31,   348.77
1986, 11,   31731, 1986.8740,   348.69,   349.04,     348.50,   348.79,     348.69,   349.04
1986, 12,   31761, 1986.9562,   349.52,   347.31,     351.12,   348.88,     349.52,   347.31
1987, 01,   31792, 1987.0411,   351.60,   348.08,     352.52,   349.00,     351.60,   348.08
1987, 02,   31823, 1987.1260,   352.25,   348.12,     353.27,   349.13,     352.25,   348.12
